state,year,month,handgun_incidents,shotgun_incidents,rifle_incidents,firearm_incidents,knife_incidents,other_weapon_incidents,sibling_incidents,spouse_incidents,parent_incidents,child_incidents,dating_incidents,other_relations_incidents,accidental_incidents,intentional_incidents,total_incidents
Alaska,1980,January,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
Alaska,1980,February,4,0,1,0,0,0,2,2,0,0,0,1,0,5,5
Alaska,1980,March,0,0,0,0,0,2,0,0,0,0,0,2,0,2,2
Alaska,1980,April,0,1,0,0,0,2,0,0,0,0,0,3,0,3,3
Alaska,1980,May,0,0,2,0,1,0,1,1,0,0,0,1,0,3,3
Alaska,1980,June,1,0,1,2,2,0,1,1,0,0,0,4,1,5,6
Alaska,1980,July,0,1,0,1,0,5,0,1,0,0,1,5,1,6,7
Alaska,1980,August,2,0,5,0,0,1,0,1,0,0,0,7,0,8,8
Alaska,1980,September,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Alaska,1980,October,0,0,3,1,0,0,0,0,0,0,0,4,2,2,4
Alaska,1980,November,1,0,2,0,0,2,1,1,0,0,0,3,2,3,5
Alaska,1980,December,0,0,1,0,2,0,0,1,0,0,0,2,1,2,3
Alaska,1981,January,2,0,3,0,1,0,0,1,0,2,0,3,1,5,6
Alaska,1981,February,0,1,1,0,0,1,1,0,0,0,0,2,1,2,3
Alaska,1981,March,2,0,2,0,2,1,0,1,0,0,0,6,2,5,7
Alaska,1981,April,0,0,0,0,0,1,0,0,0,0,0,1,0,1,1
Alaska,1981,May,6,3,2,1,2,0,1,1,0,3,0,9,0,14,14
Alaska,1981,June,0,1,1,0,0,0,0,1,0,0,0,1,0,2,2
Alaska,1981,July,1,0,2,0,0,2,2,0,0,0,0,3,2,3,5
Alaska,1981,August,3,1,1,0,0,1,0,1,0,0,0,5,3,3,6
Alaska,1981,September,1,0,1,0,2,0,0,1,0,0,0,3,1,3,4
Alaska,1981,October,4,0,0,0,0,1,0,1,0,0,0,4,1,4,5
Alaska,1981,November,3,2,0,0,0,1,2,0,0,0,0,4,0,6,6
Alaska,1981,December,5,2,2,0,0,1,1,0,2,1,1,5,0,10,10
Alaska,1982,January,1,0,1,0,0,1,0,0,0,0,0,3,0,3,3
Alaska,1982,February,3,0,4,0,1,1,2,1,0,0,1,5,1,8,9
Alaska,1982,March,2,1,0,0,0,2,1,0,0,0,0,4,0,5,5
Alaska,1982,April,4,0,1,0,3,1,0,0,0,2,0,7,0,9,9
Alaska,1982,May,8,0,0,0,0,1,0,0,0,0,0,9,0,9,9
Alaska,1982,June,1,0,3,0,1,2,0,2,0,0,0,5,0,7,7
Alaska,1982,July,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1
Alaska,1982,August,1,0,0,0,1,4,0,0,0,0,0,6,0,6,6
Alaska,1982,September,4,0,0,0,0,1,0,0,0,0,0,5,1,4,5
Alaska,1982,October,1,0,0,0,0,0,0,0,0,0,0,1,0,1,1
Alaska,1982,November,10,0,0,0,1,1,0,0,0,0,0,12,0,12,12
Alaska,1982,December,1,0,2,2,2,1,0,1,0,0,0,7,0,8,8
Alaska,1983,January,2,0,1,0,2,0,0,0,0,0,0,5,0,5,5
Alaska,1983,February,1,1,1,0,0,0,0,1,0,0,0,2,0,3,3
Alaska,1983,March,5,0,7,0,2,1,0,1,0,0,1,13,2,13,15
Alaska,1983,April,1,2,1,0,1,1,0,1,0,0,0,5,3,3,6
Alaska,1983,May,4,1,0,0,0,0,0,0,0,0,1,4,0,5,5
Alaska,1983,June,0,2,0,0,1,2,0,0,0,0,0,5,0,5,5
Alaska,1983,July,1,4,0,0,0,0,3,0,0,0,0,2,0,5,5
Alaska,1983,August,2,0,1,0,1,1,0,0,1,0,1,3,0,5,5
Alaska,1983,September,3,1,1,1,1,1,0,0,0,1,0,7,0,8,8
Alaska,1983,October,0,0,0,0,3,2,0,0,0,0,0,5,0,5,5
Alaska,1983,November,2,0,1,0,0,3,0,1,0,0,1,4,1,5,6
Alaska,1983,December,1,0,3,0,0,2,0,0,2,0,0,4,0,6,6
Alaska,1984,January,2,0,0,0,0,0,0,1,0,0,0,1,0,2,2
Alaska,1984,February,4,0,0,0,2,0,0,1,2,0,1,2,0,6,6
Alaska,1984,March,2,0,1,0,0,2,0,1,0,0,0,4,0,5,5
Alaska,1984,April,0,1,0,0,1,1,0,0,0,0,1,2,0,3,3
Alaska,1984,May,2,1,9,0,0,0,0,1,0,0,0,11,0,12,12
Alaska,1984,June,1,0,0,0,0,1,0,0,0,1,0,1,0,2,2
Alaska,1984,July,2,0,0,0,1,0,0,1,0,0,0,2,0,3,3
Alaska,1984,August,4,0,1,0,1,1,1,3,0,0,0,3,0,7,7
Alaska,1984,September,2,0,0,0,1,3,0,1,0,0,0,5,0,6,6
Alaska,1984,October,0,0,0,0,0,1,0,0,0,0,1,0,0,1,1
